age,Clean_person_emp_length,deafult_flag,income,loan_amnt,loan_grade,loan_int_rate,loan_intent,loan_status,pct_income,person_cred_hist_length,person_home_ownership
20,1,1,135000,15000,C,15.96,VENTURE,0,0.11,2,MORTGAGE
20,3,0,85920,12000,A,8.49,DEBTCONSOLIDATION,0,0.14,2,MORTGAGE
20,3,1,34800,7000,C,13.61,MEDICAL,0,0.2,2,RENT
20,3,1,64000,16000,D,15.31,VENTURE,1,0.25,4,RENT
20,4,0,32652,6000,D,14.61,PERSONAL,1,0.18,4,MORTGAGE
20,4,0,42000,6500,B,11.71,VENTURE,0,0.15,2,RENT
20,4,0,65000,4800,B,9.99,EDUCATION,0,0.07,2,MORTGAGE
20,4,0,65000,4800,B,9.99,VENTURE,0,0.07,4,MORTGAGE
20,4,0,77000,6000,A,8,VENTURE,0,0.08,2,MORTGAGE
20,4,0,77052,24250,B,11.36,EDUCATION,0,0.31,2,MORTGAGE
20,4,0,94000,5000,D,16.02,EDUCATION,0,0.05,3,RENT
20,4,0,98000,24250,D,11.09,EDUCATION,0,0.25,4,MORTGAGE
20,4,0,115731,9625,B,10.74,DEBTCONSOLIDATION,0,0.08,3,MORTGAGE
20,4,0,188004,2000,A,8.59,EDUCATION,0,0.01,4,MORTGAGE
20,4,0,188004,2000,A,8.59,PERSONAL,0,0.01,2,MORTGAGE
21,1,0,8000,2800,A,7.4,DEBTCONSOLIDATION,1,0.35,2,RENT
21,1,0,12000,1000,C,13.98,EDUCATION,0,0.08,2,RENT
21,1,0,12720,7500,A,7.05,EDUCATION,1,0.59,4,RENT
21,1,0,14400,1000,D,16.29,VENTURE,1,0.07,4,RENT
21,1,0,17916,3000,A,6,MEDICAL,1,0.17,3,RENT
21,1,0,18000,2000,A,5.42,EDUCATION,0,0.11,3,RENT
21,1,0,18000,2500,B,11.36,PERSONAL,0,0.14,3,OWN
21,1,0,18000,3200,A,8.49,PERSONAL,1,0.18,3,RENT
21,1,0,18000,3200,A,8.49,VENTURE,1,0.18,2,RENT
21,1,0,18000,5600,F,18.09,HOMEIMPROVEMENT,1,0.31,4,RENT
21,1,0,18008,3000,B,9.7,MEDICAL,1,0.17,2,RENT
21,1,0,22000,4800,A,7.88,MEDICAL,0,0.22,2,RENT
21,1,0,23040,5000,D,11.09,VENTURE,0,0.22,3,OWN
21,1,0,24000,1500,A,11.09,EDUCATION,0,0.06,3,RENT
21,1,0,24000,6500,B,12.53,VENTURE,0,0.27,2,RENT
